Исполнитель,Название песни,Текст
Виктор Цой,я посадил дерево,я знаю мое дерево не проживет и недели я знаю мое дерево в этом городе обречено но я все свое время провожу рядом с ним мне все другие дела надоели мне кажется что это мой дом мне кажется что это мой друг я посадил дерево я посадил дерево я знаю мое дерево может завтра сломает школьник я знаю мое дерево скоро оставит меня но пока оно есть я всегда рядом с ним мне с ним радостно мне с ним больно мне кажется что это мой мир мне кажется что это мой сын я посадил дерево я посадил дерево
Виктор Цой,они сказали надо пройти,они сказали надо пройти они не верят что есть другие пути не бойся это только кино я знаю точно это кино кончится фильм зажгут свет и мы поедем домой те кто был раньше вставляли в их ружья цветы в ответ на это свинец затыкал их рты
Виктор Цой,когда твоя девочка больна, день как день  только ты почему то грустишь  и вокруг все поют  только ты один молчишь  потерял аппетит  и не хочешь сходить в кино  ты идешь в магазин  чтобы купить вино  солнце светит и растет трава  но тебе она не нужна  все не так и все не то  когда твоя девушка больна ты идешь в магазин головою поник как будто иссяк чистый горный родник она гдето лежит ест мед и пьет аспирин и вот ты идешь на вечеринку один солнце светит и растет трава но тебе она не нужна все не так и все не то когда твоя девушка больна на вечеринку один когда твоя девушка больна          по моему это лучший вариант аккордов для этой песни
Виктор Цой,время естьа денег нет,дождь идет с утра будет был и есть и карман мой пуст на часах шесть папирос нет и огня нет и в огне знакомом не горит свет время есть а денег нет и в гости некуда пойти и кудато все подевались вдруг я попал в какойто не такой круг я хочу пить я хочу есть я хочу просто гденибудь сесть время есть а денег нет и в готи некуда пойти
Виктор Цой,в твоих глазах костры,раньше в твоих глазах отражались костры теперь лишь остальная лампа рассеянный свет что то проходит мимо тебе становиться не по себе это был новый день в нем тебя нет раньше в твоих глазах отражалась ночь теперь когда за окном ночь твои глаза спят и вот на рассвете ты не заметил как начался навый день ты до сих пор в старом там нет ни каких преград в твоих глазах отражается сущность ветров теперь наши взгляды вместе и не разъединит их ни что быть может нам лучше сидеть у потухших костров ты без остатка даришь мне свое тепло
Виктор Цой,хотим перемен,хотим перемен музи сл вцой вместо тепла зелень стекла вместо огня дым из сетки календаря выхвачен день красное солнце сгорает дотла день догорает с ним на пылающий город падает тень перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен электрический свет продолжает наш день и коробка от спичек пуста но на кухне синим цветком горит газ сигареты в руках чай на столе эта схема проста и больше нет ничего все находится в нас перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен мы не можем похвастаться мудростью глаз и умелыми жестами рук нам не нужно все это чтобы друг друга понять сигареты в руках чай на столе так замыкается круг и вдруг нам становится страшно чтото менять перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен
Виктор Цой,невеселая песня,наши реки бедны водой в наши окна не видно дня наше утро похоже на ночь ну а ночь для меня глядя в жидкое зеркало луж на часы что пол века стоят на до дыр зацелованный флаг я пол царства отдам за коня играй невеселая песня моя играй играй и командуя армией лет мы теряли в бою день за днем а когда мы разжигали огонь наш огонь тушили дождем мы сидим у разбитых корыт и гадаем на розе ветров а когда приходит время вставать мы сидим мы ждем играй невеселая песня моя играй играй
Виктор Цой,я понял я знаю,я понял что такое ночь я понял что такое день я понял что такое сон я понял что такое лень я знаю где о чем поют где видно только млечный путь и люди весело живут а нам хотя бы чтонибудь вся жизнь печальна но проста так что вокруг все коекак и непонятно для меня что слишком долгий этот шаг я знаю где висят замки куда вовек не попадешь куда дороги не найти ты только веришь и поешь и станут черными цветы и станет розовой вода и пусть нам скажут что к чему и с чем проститься навсегда я знаю где нельзя молчать где нужно сразу все сказать я знаю где нельзя болтать где можно только тихо ждать я понял что такое взгляд я понял что такое бой и те кто свят и кто не свят должны услышать выстрел твой среди холодных мертвых стен родился ты грядущий день ты перерезал столько вен а древо жизни только пень я понял что такое ночь я понял что такое день я понял что такое сон я понял что такое лень что жизнь печальна но проста и что вокруг все коекак и не понятно для меня что все по правде это так скоро наступит утро
Виктор Цой,завтра война,над полями туман над рекой туман ты придешь не придешь все одно обман а на небе луна за ней звезд стена а над хутором песня слышна и идет паренек и ему невдомек то что завтра начнется война
Виктор Цой,такой я есть,я не из тех кто рожден вечно биться я не из тех кто рожден вечно жить я из тех кому ночами не спиться уум и из тех кто не любит комуто служить такой я есть таким и буду всюду уум таким какой я есть такой я есть таким и буду всюду уум таким какой я есть расскажи кто за все мне ответит и о тех кто в огне не горит и о тех кому солнце не светит и о тех кто над нами парит мне интересно знать что дальше будет мне интересно знать каков исход мне интересно знать что скажут люди и интересно что скажут они через год такой я есть таким и буду всюду уум таким какой я есть такой я есть таким и буду всюду уум таким какой я есть такой я есть таким и буду всюду уум таким какой я есть такой я есть таким и буду всюду уум таким какой я есть
Виктор Цой,перемен ждут наши сердца,перемен ждут наши сердца вместо тепла зелень стекла вместо огня дым из сетки календаря выхвачен день красное солнце сгорает дотла день догорает с ним на пылающий город падает тень перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен электрический свет продолжает наш день и коробка от спичек пуста но на кухне синим цветком горит газ сигареты в руках чай на столе эта схема проста и больше нет ничего все находится в нас перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен мы не можем похвастаться мудростью глаз и умелыми жестами рук нам не нужно все это чтобы друг друга понять сигареты в руках чай на столе так замыкается круг и вдруг нам становится страшно чтото менять перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен
Виктор Цой,сельва аккорды,   раза боем бой го куплета внизвверхпауза бой внизвверхвнизглушениевверх куплет  твоя строил башня слоновой кости  твоя улыбчив как юный бог  твоя не слушал советов сбоку  и вот твоя башня упал  аяяяяяяяй упал упал  аяяяяяяй прямо на песок   аяяяяяяй слишком сухой песок наша сельва  аяяяй а ты не знал потому что не слушал советов амигос проигрыш после куплета       раз куплет твоя сажал сад сад семиля бананы твоя улыбчив как юный бог твоя не слушал советов сбоку и вот твой бананы зачах аяяяяяяяй зачах зачах аяяяяяяй сад семиля зачах аяяяяяяй слишком сухой песок наша сельва аяяяй а ты не знал потому что не слушал советов амигос куплет твоя рыл колодец где вода нету твоя улыбчив как юный бог твоя не слушал советов сбоку и вот твой колодец пустой аяяяяяяяй пустой пустой аяяяяяяй совершенно пустой аяяяяяяй слишком сухой песок наша сельва аяяяй а ты не знал потому что не слушал советов амигос
Виктор Цой,скоро зима неизданная,скоо зима улетают последние птицы астпила на землю осень вот опять пожелтели листья и мне хочется пива хочеется скоо в двеи постчится зима и коет деевья снег вновь на землю пидт холода вемя снова замедлит свой бег скоо в двеи постчится зима и коет деевья снег вновь на землю пидт холода вемя снова замедлит свой бег снова солнце станет холодным и исчезнт на лицах люди аисет лед зоы на стеклах это было и все это бдет скоо в двеи постчится зима и коет деевья снег вновь на землю пидт холода вемя снова замедлит свой бег скоо в двеи постчится зима и коет деевья снег вновь на землю пидт холода вемя снова замедлит свой беееег
Виктор Цой,мы ждем перемен,вместо тепла зелень стекла вместо огня дым из сетки календаря выхвачен день красное солнце сгорает дотла день догорает с ним на пылающий город падает тень перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен электрический свет продолжает наш день и коробка от спичек пуста но на кухне синим цветком горит газ сигареты в руках чай на столе эта схема проста и больше нет ничего все находится в нас мы не можем похвастаться мудростью глаз и умелыми жестами рук нам не нужно все это чтобы друг друга понять сигареты в руках чай на столе так замыкается круг и вдруг нам становится страшно чтото менять
Виктор Цой,малыш акустика ,          теплое теплое море  жаркое солнце  синие синие волны  и пустынный пляж  музыка рядом со мною  ты рядом со мною  и весь этот берег  наш  когда я вижу как ты танцуешь  малыш ты меня волнуешь  когда ты смотришь так серьезно  малыш я тебя люблю  когда ты робко меня целуешь  малыш ты меня волнуешь  но не могу не могу извини немогу          песня летит над волнами летит как цунами но корабль на горизонте плывет что же случилося с нами что случилось с нами этот вопрос мне покой не дает припев плюс  но не могу не могу уж уволь немогу
Виктор Цой,когда,эй где твои туфли на манной каше и куда ты засунул свой двубортный пиджак спрячь подальше домашние тапки папаша ты ведь раньше не дал бы за них и пятак припев а когдато ты был битником ууу когдато ты был битником ууу когдато ты был битником ууу когдато ты ты был когдато битником ты готов был отдать душу за рокнролл извлеченный из снимка чужой диафрагмы а теперь телевизор газета футбол и довольна тобой твоя старая мама припев а когдато ты был битником ууу когдато ты был битником ууу когдато ты был битником ууу когдато ты ты был когдато битником рокнролльное время ушло безвозвратно охладили седины твоей юности пыл но я верю и верить мне в это приятно что в душе ты остался таким же как был припев а когдато ты был битником ууу когдато ты был битником ууу когдато ты был битником ууу когдато ты когдато ты когдато ты был битником ууу когдато ты был битником ууу когдато ты был битником ууу когдато ты ты был когдато битником ты был когдато битником
Виктор Цой,мама анархия папа стакан портвейна,солдат шел по улице домой и увидел этих ребят кто ваша мама ребята спросил у ребят солдат мамаанархия папастакан портвейна мамаанархия папастакан портвейна все они в кожаных куртках все небольшого роста хотел солдат пройти мимо но это было непросто мамаанархия папастакан портвейна мамаанархия папастакан портвейна довольно веселую шутку сыграли с солдатом ребята раскрасили красным и синим заставляли ругаться матом мамаанархия папастакан портвейна мамаанархия папастакан портвейна
Виктор Цой,любовь,ты уходишь так рано и приходишь так поздно домой я скучаю целый день я смотрю во двор в окно я хотел бы все время быть только с тобой но пока я без тебя и в душе моей темно любовь это не шутка ты знаешь я не шучу раза ты живешь на ом а я на ом и обертки от конфет пролетают за окном а когда ты уходишь я смотрю тебе вслед обернешься или нет я махну тебе платком любовь это не шутка ты знаешь я не шучу раза а когда в доме тихо я слышу как ты поешь я пытаюсь тебе подыграть но никак не могу подобрать мотив засыпая я вижу твои глаза но они говорят мне нет удивляюсь как я еще жив любовь это не шутка ты знаешь я не шучумного раз
Виктор Цой,стань птицей,стань птицей живущей в моем небе помни что нет тюрьмы страшнее чем в голове стань птицей не думай о хлебе я стану дорогой я помню прозрачность воды моря я вижу прозрачность горящего газа стань сердцем в моем теле я стану кровью я буду делать все как умею стань книгой ложись в мои руки стань песней живи на губах я стану словами
Виктор Цой,я хочу быть кочегаром, надоело ходить на работу каждый день к девяти на работу я нашел выход я хочу быть кочегаром кочегаром кочегаром я хочу быть кочегаром кочегаром кочегаром работать сутки через трое через трое через трое я хочу быть кочегаром кочегаром кочегаром я хочу быть кочегаром кочегаром кочегаром я хочу быть кочегаром кочегаром кочегаром я хочу быть кочегаром кочегаром кочегаром работать сутки через трое через трое через трое я хочу быть кочегаром кочегаром кочегаром я хочу быть кочегаром кочегаром кочегаром эта песня кочегаров  эта песня кочегаров   раза эта песня кочегаров  эта песня кочегаров 
Виктор Цой,мы хотим танцевать,наше сердце работает как новый мотор мы в четырнадцать лет знаем все что нам надо знать и мы будем делать все что мы захотим пока вы не угробили весь этот мир в нас еще до рождения наделали дыр и где тот портной что сможет их залатать что с того что мы немного того что с того что мы хотим танцевать наше сердце работает как новый мотор почему и чего мы еще должны ждать и мы будем делать все что мы захотим а сейчас сейчас мы хотим танцевать
Виктор Цой,война сестры,покажи мне людей уверенных в завтрашнем дне нарисуй мне портреты погибших на этом пути покажи мне того кто выжил один из полка но ктото должен стать дверью а ктото замком а ктото ключом от замка земля небо между землей и небом война и где бы ты ни был что б ты не делал между землей и небом война гдето есть люди для которых есть день и есть ночь гдето есть люди у которых есть сын и есть дочь гдето есть люди для которых теорема верна но ктото станет стеной а ктото плечом под которым дрогнет стена земля небо между землей и небом война и где бы ты ни был что б ты не делал между землей и небом война
Виктор Цой,мы хотим танцевать карась ,в день рождения виктора цоя дарю одну из его песен наше сердце работает как новый мотор мы в четырнадцать лет знаем все что нам надо знать и мы будем делать все что мы захотим пока вы не угробили весь этот мир в нас еще до рождения наделали дыр и где тот портной что сможет их залатать что с того что мы немного того что с того что мы хотим танцевать наше сердце работает как новый мотор почему и чего мы еще должны ждать и мы будем делать все что мы захотим а сейчас сейчас мы хотим танцевать
Виктор Цой,твое настроение,ты пишешь мне что обидно и некуда слезы девать что ложишься спать в надежде забыть все но завтра вставать и вспоминать все что было с тобой и плакать опять и ночь так не спать и некому в это время поднять твое настроение иеиеиее ауу твое настроение иеиеиее уум ты сидишь у окна с болью грустью и думаешь как обида сильна и исчезла луна но разве поможет тебе она и чья в том вина что ночь так темнаи нетерпимо длинна но утро вспыхнет опять тебя утешать но и это не сможет поднять твое настроение иеиеиеие ауу твое настроение иеиеиеие уум ты думаешь все происходит только с тобой и больше ни с кем ты ищешь плечо чтоб поплакать в это плечо я тоже искал ночами не спал но теперь я устал и сейчас не понять и словом не сказать и пером не описать мое настроение иеиеиеие уу
Виктор Цой,стук и когда я обернусь на пороге я скажу одно лишь слово верь ,струн провода ток по рукам телефон на все голоса говорит пока пора и пальто на гвозде шарф в рукаве и перчатки в карманах шепчут подожди до утра до утра но странный стук зовет в дорогу может сердца а может стук в дверь и когда я обернусь на пороге я скажу одно лишь слово верь и опять на вокзал и опять к поездам и опять проводник выдаст блье и чай и опять не усну и опять сквозь грохот колес мне послышится слово прощай но странный стук зовет в дорогу может сердца а может стук в дверь и когда я обернусь на пороге я скажу одно лишь слово верь
Виктор Цой,ты обвела меня вокруг пальца,я повел тебя в ресторан а потом на такси домой ты сказала что очень рада и завтра встретишься со мной припев ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной я обещал прийти я здесь ты обещала тебя здесь нет и букет в моих руках давно завял давно зачах припев ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной я писал тебе длинные письма ты мне только в открытке привет я хочу совершить убйство так чтоб ты держала ответ припев ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной ты обвела меня вокруг пальца я знаю что ты играла со мной
Виктор Цой,попробуй спеть вместе со мной,на улице снег утратил свою белизну в стеклянности талой воды мы видим луну мы идем мы сильны и бодры замерзшие пальцы ломают спички от которых зажгутся костры попробуй спеть вместе со мной вставай рядом со мной раза раза это наш день мы узнали его по расположению звезд знаки огня и воды взгляды богов и вот мы делаем шаг на недостроенный мост мы поверили звездам и каждый кричит я готов попробуй спеть вместе со мной вставай рядом со мной те кто слаб живут из запоя в запой кричат нам не дали петь кричат попробуй тут спой мы идем мы сильны и бодры замерзшие пальцы ломают спички от которых зажгутся костры попробуй спеть вместе со мной вставай рядом со мной
Виктор Цой,мы ждем перемен паша кореец ,вместо тепла зелень стекла вместо огня дым из сетки календаря выхвачен день красное солнце сгорает дотла день догорает с ним на пылающий город падает тень перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен электрический свет продолжает наш день и коробка от спичек пуста но на кухне синим цветком горит газ сигареты в руках чай на столе эта схема проста и больше нет ничего все находится в нас перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен мы не можем похвастаться мудростью глаз и умелыми жестами рук нам не нужно все это чтобы друг друга понять сигареты в руках чай на столе так замыкается круг и вдруг нам становится страшно чтото менять перемен требуют наши сердца перемен требуют наши глаза в нашем смехе и в наших слезах и в пульсации вен перемен мы ждем перемен
Виктор Цой,без десяти,я должен прийти к девяти на работу свою но сейчас уже без десяти а я только встаю на столе моем завтрак стоит от него не уйти и наверное я к девяти не смогу подойти еще только без десяти девять часов в объяснительной я напишу что был у врача а еще напишу что часы на пути не встречал и пускай все ругают меня на работе моей и пускай все позорят меня на работе моей еще только без десяти девять часов
Виктор Цой,пой свои песни пей свои вина,пой свои песни пей свои вина герой ты опять видишь сон о том что все впереди стоя на крыше ты тянешь руку к звезде и вот она бьется в руке как сердце в груди что теперь делать с птицей далеких небес ты смотришь сквозь пальцы но свет слишком ярок и чист и звезда говорит тебе полетим со мной ты делаешь шаг но она летит вверх а ты вниз но однажды тебе вдруг удастся подняться вверх и ты сам станешь одной из бесчисленных звезд и ктото другой протянет ладонь тебе а когда ты умрешь он примет твой пост
Виктор Цой,бездельник ,нет меня дома целыми днями занят бездельем играю словами каждое утро снова жизнь свою начинаю и ни черта ни в чем не понимаю припев я лишь начнется новый день хожу отбрасываю тень с лицом нахала наступит вечер я опять отправлюсь спать чтоб завтра встать и все сначала ноги уносят мои руки и туловище и голова отправляется следом словно с похмелья шагаю по улице я мозг переполнен сумбуром и бредом проигрыш все говорят что надо кемто мне становиться а я хотел бы остаться собой мне стало трудно теперь просто разозлиться и я иду поглощенный толпой припев я лишь начнется новый день хожу отбрасываю тень с лицом нахала наступит вечер я опять отправлюсь спать чтоб завтра встать и все сначала
Виктор Цой,я люблю эти темные ночи,здравствуй день ты снова со мной я не верю что дождь не пойдет весной у этого дня еще пока время есть ты гдето там а я гдето здесь только вера способна дать сил порой мне кажется что уже я здесь был но только ночь лучше дня когда же опять я увижу тебя я не знаю за что но я люблю эти темные ночи я не знаю почему но я хочу чтоб всегда была ночь я хочу быть с тобой пока ты этого хочешь и я буду с тобой пока не скажешь мне прочь пусть не ясно сколько нам еще жить но раз уж мы есть значит нам надо быть будем смотреть друг другу в глаза но ктото сказал что так жить нельзя я не хочу быть игрушкой в игре я не хочу быть солдатом в войне я не вижу впереди следы у меня остались только ночь да ты я не знаю за что но я люблю эти темные ночи я не знаю почему но я хочу чтоб всегда была ночь я хочу быть с тобой пока ты этого хочешь и я буду с тобой пока не скажешь мне прочь я не знаю за что но я люблю эти темные ночи я не знаю почему но я хочу чтоб всегда была ночь я хочу быть с тобой пока ты этого хочешь и я буду с тобой пока не скажешь мне прочь
Виктор Цой,ночьакустика,  за окнами солнце за окнами свет это день  ну а я всегда любил ночь  и это мое дело любить ночь  и это мое право уйти в тень я люблю ночь за то что в ней меньше машин я люблю дым и пепел своих папирос я люблю кухни за то что они хранят тайны я люблю свой дом но вряд ли это всерьез  и эта ночь и ее электрический свет бьет мне в глаза  и эта ночь и ее электрический свет бьет мне в окно  и эта ночь и ее электрический голос  манит меня к себе  и я не знаю как мне прожить следующий день я один но это не значит что я одинок мой магнитофон хрипит о радостях дня я помню что завтра меня ждет несколько встреч и кофе в известном кафе согреет меня и эта ночь и ее электрический свет бьет мне в глаза и эта ночь и ее электрический свет льет мне в окно и эта ночь и ее электрический голос манит меня к себе и я не знаю как мне прожить следующий день
Виктор Цой,он ест,он ночью выходит из дома забирается в чужие квартиры ищет где стоит холодильник и ест люди холодеют от страха стоят холодильники пустые он открывает их холодильник и ест люди болеют люди умирают люди болеют он ест люди крепко запирают квартиры покупают пулеметы и гранаты он приходит и проходит сквозь стену и ест люди болеют люди умирают люди болеют люди умирают он ест еееееест он ест еееееест ест
Виктор Цой,музыка волн,я вижу как волны смывают следы на песке я слышу как ветер поет свою странную песню я слышу как струны деревьев играют ее музыку волн музыку ветра здесь трудно сказать что такое асфальт здесь трудно сказать что такое машина здесь нужно руками кидать воду вверх музыка волн музыка ветра кто из вас вспомнит о тех кто сбился с дороги кто из вас вспомнит о тех кто смеялся и пел кто из вас вспомнит чувствуя холод приклада музыку волн музыку ветра музыку волн музыку ветра
Виктор Цой,проснись это любовь,каждый день ты приходишь домой когда темно каждый день долго едешь в метро когда темно а она живет в центре всех городов и ты хочешь быть рядом но надо ехать домой уже темно проснись это любовь смотри это любовь проснись это любовь твои родители давно уже спят уже темно ты не спишь ты ждешь а вдруг зазвонит телефон и ты готов отдать все за этот звонок но она давно уже спит там в центре всех городов проснись это любовь смотри это любовь проснись это любовь
Виктор Цой,малыш ,это очень редкая запись цоя теплоетеплое море жаркое солнце синиесиние волны и пустынный пляж музыка рядом со мною ты рядом со мною и весь этот берег наш когда я вижу как ты танцуешь малыш ты меня волнуешь когда ты смотришь так серьезно малыш я тебя люблю когда ты робко меня целуешь малыш ты меня волнуешь но не могу не могу извини не могу песня летит над волнами летит как цунами но корабль на горизонте плывет что же случилось с нами что случилось с нами этот вопрос мне покой не дает когда я вижу как ты танцуешь малыш ты меня волнуешь когда ты смотришь так серьезно малыш я тебя люблю когда ты робко меня целуешь малыш ты меня волнуешь но не могу не могу извини не могу но не могу не могу уж уволь не могу но не могу не могу извини не могу
Виктор Цой,солнечные дни,белая гадость лежит под окном я ношу шапку и шерстяные носки мне везде неуютно и пиво пить в лом как мне избавиться от этой тоски по вам припев солнечные дни солнечные дни солнечные дни мерзнут руки и ноги и негде сесть это время похоже на сплошную ночь хочется в теплую ванну залезть может быть это избавит меня от тоски по вам припев я раздавлен зимой я болею и сплю и порой я уверен что зима навсегда еще так долго до лета а я еле терплю но может быть эта песня избавит меня от тоски по вам
